Product Name,Quantity,Total Price (EGP),Total Price (USD),LINKS
TF/U Disk MP3 Format Decoder Board,1,125,2.62,https://makerselectronics.com/product/tf-u-disk-mp3-decoder-amplifier/
18650 Battery Holder 1-Slot,1,7,0.15,https://makerselectronics.com/product/18650-battery-holder-1-slot/
Rechargeable 18650 Li-ion Battery 3.7V,1,50,1.05,https://makerselectronics.com/product/rechargeable-18650-li-ion-battery/
TP4056 TYPE-C Lithium Charging Board,1,20,0.42,https://makerselectronics.com/product/tp4056-type-c-lithium-charging-module/
Miniature ON-OFF Slide Switch 6-Pin,1,4.5,0.09,https://makerselectronics.com/product/miniature-on-off-slide-switch-6-pin/
Stranded Wire 0.5mm 1meter - Red,1,7.5,0.16,https://makerselectronics.com/product/stranded-wire-0-5mm%c2%b2-1meter/
Stranded Wire 0.5mm 1meter - Black,1,7.5,0.16,https://makerselectronics.com/product/stranded-wire-0-5mm%c2%b2-1meter/
AMRO Glue Stick (11x185mm),1,7,0.15,https://makerselectronics.com/product/amro-glue-stick-for-glue-gun/
Glue Gun 80W GG-5,1,165,3.46,https://makerselectronics.com/product/glue-gun-80w-gg-5-with-on-off-switch/
Heat Shrink 5mm 1meter - Red,1,6,0.13,https://makerselectronics.com/product/heat-shrink-4mm-1meter/
Heat Shrink 2mm 1meter - Black,1,3.5,0.07,https://makerselectronics.com/product/heat-shrink-2mm-1meter/
Heat Shrink 2mm 1meter - Red,1,3.5,0.07,https://makerselectronics.com/product/heat-shrink-2mm-1meter/
Waterproof Plastic Project Box 125mmX80mmX32mm - Black,1,55,1.15,https://makerselectronics.com/product/waterproof-plastic-project-box-125mmx80mmx32mm/
TOTAL,13,461.5,9.68,
TOTAL (NOT including glue gun),,296,6.21,
